IP:PORT, LOSS, DELAY
162.159.192.91:3476,0.00%,118 ms
188.114.96.36:3476,0.00%,118 ms
188.114.96.6:942,0.00%,119 ms
188.114.96.30:3476,0.00%,121 ms
162.159.192.91:942,0.00%,123 ms
188.114.96.6:3476,0.00%,123 ms
188.114.99.148:3476,0.00%,127 ms
188.114.97.91:3476,0.00%,127 ms
188.114.96.36:942,0.00%,128 ms
188.114.96.87:3476,0.00%,128 ms
188.114.96.153:3476,0.00%,128 ms
188.114.98.170:3476,0.00%,129 ms
188.114.96.30:942,0.00%,129 ms
188.114.97.160:942,0.00%,129 ms
162.159.192.211:3476,0.00%,129 ms
162.159.192.211:942,0.00%,129 ms
162.159.192.171:3476,0.00%,129 ms
188.114.97.147:3476,0.00%,130 ms
162.159.192.171:942,0.00%,130 ms
162.159.195.110:942,0.00%,130 ms
188.114.99.229:3476,0.00%,130 ms
188.114.98.10:3476,0.00%,131 ms
162.159.195.110:3476,0.00%,132 ms
188.114.97.147:942,0.00%,132 ms
188.114.99.189:942,0.00%,132 ms
188.114.98.1:3476,0.00%,132 ms
162.159.195.96:3476,0.00%,133 ms
162.159.195.68:3476,0.00%,133 ms
188.114.98.10:942,0.00%,133 ms
188.114.97.210:3476,0.00%,133 ms
188.114.96.153:942,0.00%,133 ms
162.159.195.244:3476,0.00%,134 ms
188.114.98.1:942,0.00%,134 ms
188.114.99.148:942,0.00%,134 ms
162.159.195.96:942,0.00%,135 ms
188.114.99.165:3476,0.00%,135 ms
188.114.98.114:942,0.00%,135 ms
162.159.195.50:942,0.00%,136 ms
188.114.99.11:3476,0.00%,138 ms
188.114.99.86:942,0.00%,140 ms
188.114.99.189:3476,0.00%,141 ms
188.114.99.229:942,0.00%,142 ms
188.114.98.36:942,10.00%,208 ms
188.114.97.160:3476,10.00%,210 ms
162.159.195.68:942,10.00%,212 ms
188.114.98.36:3476,10.00%,215 ms
162.159.195.50:3476,10.00%,215 ms
162.159.195.244:942,10.00%,215 ms
188.114.98.114:3476,10.00%,215 ms
188.114.97.210:942,10.00%,216 ms
188.114.96.87:942,10.00%,216 ms
188.114.97.91:942,10.00%,216 ms
188.114.98.170:942,10.00%,216 ms
188.114.99.11:942,10.00%,228 ms
188.114.99.86:3476,20.00%,304 ms
162.159.192.141:942,50.00%,559 ms
162.159.192.136:3476,50.00%,560 ms
162.159.192.228:942,50.00%,560 ms
162.159.192.110:942,50.00%,561 ms
162.159.192.110:3476,50.00%,562 ms
162.159.192.153:942,50.00%,562 ms
188.114.96.211:942,50.00%,562 ms
188.114.98.9:3476,50.00%,562 ms
162.159.192.185:942,50.00%,562 ms
162.159.192.216:942,50.00%,562 ms
188.114.96.34:3476,50.00%,563 ms
162.159.192.172:942,50.00%,563 ms
188.114.97.116:942,50.00%,563 ms
162.159.192.136:942,50.00%,563 ms
162.159.192.141:3476,50.00%,563 ms
162.159.192.172:3476,50.00%,563 ms
162.159.192.153:3476,50.00%,564 ms
188.114.96.208:3476,50.00%,564 ms
162.159.192.185:3476,50.00%,564 ms
162.159.192.216:3476,50.00%,564 ms
162.159.192.65:3476,50.00%,564 ms
188.114.97.31:3476,50.00%,564 ms
162.159.195.177:942,50.00%,565 ms
162.159.192.75:942,50.00%,565 ms
188.114.97.208:942,50.00%,565 ms
188.114.98.139:3476,50.00%,565 ms
162.159.195.65:942,50.00%,565 ms
188.114.96.196:942,50.00%,565 ms
162.159.195.189:942,50.00%,565 ms
188.114.97.55:942,50.00%,565 ms
188.114.96.91:942,50.00%,566 ms
188.114.96.211:3476,50.00%,566 ms
188.114.96.217:942,50.00%,566 ms
188.114.99.216:3476,50.00%,566 ms
162.159.192.59:3476,50.00%,566 ms
162.159.192.228:3476,50.00%,566 ms
188.114.97.0:942,50.00%,566 ms
162.159.195.73:942,50.00%,566 ms
162.159.195.177:3476,50.00%,567 ms
188.114.96.99:3476,50.00%,567 ms
188.114.96.91:3476,50.00%,567 ms
188.114.96.34:942,50.00%,567 ms
188.114.96.208:942,50.00%,567 ms
162.159.192.59:942,50.00%,567 ms
162.159.195.18:942,50.00%,567 ms
188.114.98.139:942,50.00%,567 ms
188.114.96.99:942,50.00%,567 ms
