IP:PORT, LOSS, DELAY
188.114.99.7:2408,0.00%,130 ms
188.114.99.7:864,0.00%,133 ms
188.114.96.34:3581,0.00%,138 ms
188.114.96.52:3581,0.00%,139 ms
188.114.99.91:864,0.00%,140 ms
188.114.96.32:500,0.00%,140 ms
188.114.97.123:3581,0.00%,140 ms
188.114.97.122:500,0.00%,141 ms
188.114.96.216:943,0.00%,143 ms
188.114.96.216:3138,0.00%,143 ms
188.114.96.23:3138,0.00%,145 ms
188.114.96.27:3581,0.00%,149 ms
188.114.96.43:500,0.00%,149 ms
188.114.96.32:3581,0.00%,151 ms
188.114.97.113:3581,0.00%,151 ms
188.114.96.250:943,0.00%,152 ms
188.114.96.250:3138,0.00%,152 ms
188.114.96.35:500,0.00%,152 ms
188.114.96.243:3138,0.00%,153 ms
188.114.99.6:2408,0.00%,154 ms
188.114.96.240:943,0.00%,155 ms
188.114.96.240:3138,0.00%,155 ms
188.114.97.115:3581,0.00%,155 ms
188.114.96.27:500,0.00%,155 ms
188.114.96.33:3581,0.00%,156 ms
188.114.96.23:943,0.00%,156 ms
188.114.97.208:7156,0.00%,157 ms
188.114.96.95:500,0.00%,157 ms
188.114.96.95:3581,0.00%,158 ms
188.114.96.52:500,0.00%,158 ms
188.114.96.28:3581,0.00%,158 ms
188.114.97.172:7156,0.00%,158 ms
188.114.96.64:3581,0.00%,158 ms
188.114.96.64:500,0.00%,159 ms
188.114.96.90:3581,0.00%,160 ms
188.114.96.84:3581,0.00%,160 ms
188.114.96.84:500,0.00%,160 ms
188.114.99.250:864,0.00%,161 ms
188.114.96.45:500,0.00%,162 ms
188.114.97.113:500,0.00%,162 ms
188.114.97.129:890,0.00%,164 ms
188.114.96.54:3581,0.00%,164 ms
188.114.97.131:890,0.00%,164 ms
188.114.97.131:7156,0.00%,164 ms
188.114.97.129:7156,0.00%,165 ms
188.114.97.175:7156,0.00%,168 ms
188.114.97.142:890,0.00%,168 ms
188.114.97.135:7156,0.00%,168 ms
188.114.97.172:890,0.00%,169 ms
188.114.97.21:7156,0.00%,169 ms
188.114.97.127:3581,0.00%,170 ms
188.114.97.142:7156,0.00%,171 ms
188.114.99.250:4500,0.00%,171 ms
188.114.97.150:7156,0.00%,171 ms
188.114.97.149:7156,0.00%,172 ms
188.114.97.201:890,0.00%,173 ms
188.114.97.150:890,0.00%,174 ms
162.159.192.234:943,0.00%,174 ms
188.114.97.145:890,0.00%,175 ms
188.114.97.145:7156,0.00%,175 ms
162.159.192.97:934,0.00%,177 ms
188.114.97.120:3581,0.00%,177 ms
162.159.195.171:934,0.00%,178 ms
188.114.97.212:7156,0.00%,181 ms
162.159.195.154:934,0.00%,181 ms
188.114.97.216:7156,0.00%,181 ms
188.114.97.216:890,0.00%,182 ms
188.114.97.212:890,0.00%,182 ms
188.114.97.21:890,0.00%,183 ms
162.159.195.61:934,0.00%,183 ms
188.114.99.242:864,0.00%,185 ms
162.159.192.31:934,0.00%,186 ms
162.159.195.132:943,0.00%,187 ms
162.159.195.19:934,0.00%,187 ms
162.159.195.166:934,0.00%,187 ms
188.114.96.16:934,0.00%,187 ms
162.159.195.165:934,0.00%,187 ms
188.114.96.183:943,0.00%,187 ms
162.159.195.92:943,0.00%,188 ms
188.114.96.111:943,0.00%,188 ms
162.159.195.91:943,0.00%,188 ms
188.114.96.183:934,0.00%,188 ms
162.159.195.182:934,0.00%,188 ms
162.159.195.166:943,0.00%,188 ms
162.159.195.165:943,0.00%,188 ms
162.159.195.195:934,0.00%,188 ms
162.159.195.64:934,0.00%,189 ms
