IP:PORT, LOSS, DELAY
188.114.97.230:878,0.00%,130 ms
188.114.97.129:854,0.00%,130 ms
188.114.97.205:854,0.00%,131 ms
162.159.192.241:854,0.00%,131 ms
188.114.98.113:878,0.00%,131 ms
162.159.195.59:878,0.00%,131 ms
162.159.192.24:878,0.00%,133 ms
162.159.195.7:854,0.00%,135 ms
162.159.192.209:854,0.00%,135 ms
162.159.192.209:878,0.00%,135 ms
162.159.192.219:878,0.00%,135 ms
188.114.97.199:854,0.00%,136 ms
188.114.97.205:878,0.00%,136 ms
162.159.192.241:878,0.00%,136 ms
188.114.97.129:878,0.00%,137 ms
188.114.96.89:878,0.00%,137 ms
162.159.192.24:854,0.00%,137 ms
188.114.99.68:854,0.00%,141 ms
188.114.99.166:878,0.00%,141 ms
188.114.96.154:878,0.00%,143 ms
162.159.195.212:878,0.00%,144 ms
162.159.195.59:854,0.00%,144 ms
188.114.97.230:854,0.00%,144 ms
188.114.96.180:878,0.00%,144 ms
188.114.96.47:854,0.00%,144 ms
188.114.96.47:878,0.00%,144 ms
188.114.98.113:854,0.00%,145 ms
188.114.97.187:878,0.00%,145 ms
188.114.98.83:878,0.00%,145 ms
162.159.195.169:878,0.00%,145 ms
188.114.99.249:854,0.00%,145 ms
188.114.99.249:878,0.00%,145 ms
188.114.99.177:878,0.00%,145 ms
188.114.99.213:854,0.00%,145 ms
188.114.99.68:878,0.00%,145 ms
188.114.99.213:878,0.00%,145 ms
188.114.99.83:878,0.00%,145 ms
188.114.98.205:854,0.00%,146 ms
188.114.96.180:854,0.00%,147 ms
188.114.97.136:878,0.00%,147 ms
188.114.97.213:878,10.00%,216 ms
188.114.98.83:854,10.00%,216 ms
162.159.195.205:878,10.00%,216 ms
188.114.97.150:854,10.00%,216 ms
188.114.97.199:878,10.00%,217 ms
162.159.195.115:878,10.00%,217 ms
162.159.195.115:854,10.00%,217 ms
188.114.97.143:878,10.00%,220 ms
188.114.97.136:854,10.00%,220 ms
188.114.96.102:878,10.00%,220 ms
162.159.195.7:878,10.00%,221 ms
188.114.97.150:878,10.00%,221 ms
188.114.99.177:854,10.00%,222 ms
188.114.97.143:854,10.00%,223 ms
188.114.96.89:854,10.00%,224 ms
162.159.195.93:854,10.00%,229 ms
188.114.97.213:854,10.00%,230 ms
188.114.97.71:854,10.00%,230 ms
162.159.195.169:854,10.00%,230 ms
188.114.98.188:854,10.00%,230 ms
162.159.195.54:878,10.00%,230 ms
162.159.195.54:854,10.00%,230 ms
188.114.96.102:854,10.00%,230 ms
188.114.98.25:854,10.00%,230 ms
188.114.98.205:878,10.00%,230 ms
188.114.99.83:854,10.00%,230 ms
162.159.195.212:854,10.00%,230 ms
188.114.97.71:878,10.00%,230 ms
162.159.195.205:854,10.00%,231 ms
188.114.96.154:854,10.00%,231 ms
162.159.192.219:854,10.00%,231 ms
188.114.96.12:878,10.00%,231 ms
188.114.96.12:854,10.00%,231 ms
188.114.99.223:878,10.00%,231 ms
188.114.98.25:878,20.00%,301 ms
188.114.98.188:878,20.00%,302 ms
162.159.195.93:878,20.00%,304 ms
188.114.99.223:854,20.00%,307 ms
188.114.99.166:854,20.00%,307 ms
188.114.97.187:854,20.00%,315 ms
188.114.98.247:878,50.00%,561 ms
162.159.192.125:878,50.00%,563 ms
162.159.192.181:854,50.00%,563 ms
162.159.192.181:878,50.00%,563 ms
188.114.96.231:854,50.00%,563 ms
188.114.96.210:878,50.00%,563 ms
162.159.192.168:854,50.00%,564 ms
162.159.192.147:854,50.00%,564 ms
162.159.192.125:854,50.00%,564 ms
162.159.192.214:878,50.00%,564 ms
162.159.192.214:854,50.00%,565 ms
188.114.97.170:854,50.00%,565 ms
162.159.192.240:878,50.00%,566 ms
162.159.195.227:854,50.00%,566 ms
162.159.192.23:854,50.00%,566 ms
162.159.192.147:878,50.00%,567 ms
162.159.195.58:878,50.00%,567 ms
162.159.192.168:878,50.00%,567 ms
162.159.195.96:878,50.00%,567 ms
188.114.96.77:854,50.00%,567 ms
188.114.98.45:878,50.00%,567 ms
162.159.192.118:878,50.00%,567 ms
162.159.192.79:854,50.00%,568 ms
162.159.195.148:854,50.00%,568 ms
162.159.192.197:854,50.00%,569 ms
162.159.192.197:878,50.00%,569 ms
162.159.192.240:854,50.00%,569 ms
162.159.192.33:854,50.00%,569 ms
188.114.98.24:854,50.00%,570 ms
188.114.96.178:878,50.00%,570 ms
162.159.195.148:878,50.00%,570 ms
188.114.99.147:878,50.00%,570 ms
188.114.97.170:878,50.00%,570 ms
188.114.96.1:878,50.00%,570 ms
188.114.97.147:878,50.00%,570 ms
162.159.195.241:854,50.00%,570 ms
188.114.98.137:854,50.00%,570 ms
188.114.97.147:854,50.00%,570 ms
188.114.97.190:878,50.00%,570 ms
162.159.192.79:878,50.00%,571 ms
162.159.192.118:854,50.00%,571 ms
162.159.192.33:878,50.00%,571 ms
162.159.192.23:878,50.00%,572 ms
162.159.195.220:878,50.00%,573 ms
162.159.195.96:854,50.00%,574 ms
188.114.98.206:854,50.00%,574 ms
162.159.195.220:854,50.00%,574 ms
188.114.98.206:878,50.00%,574 ms
