IP:PORT, LOSS, DELAY
162.159.192.131:8742,0.00%,108 ms
162.159.192.118:8742,0.00%,109 ms
162.159.192.226:854,0.00%,109 ms
188.114.97.117:8742,0.00%,110 ms
162.159.192.219:854,0.00%,111 ms
162.159.192.65:854,0.00%,111 ms
188.114.98.63:854,0.00%,114 ms
188.114.99.177:854,0.00%,114 ms
188.114.98.197:854,0.00%,114 ms
188.114.99.191:8742,0.00%,114 ms
188.114.97.15:8742,0.00%,114 ms
188.114.97.44:8742,0.00%,114 ms
188.114.99.216:8742,0.00%,115 ms
162.159.192.18:8742,0.00%,115 ms
188.114.98.236:854,0.00%,115 ms
188.114.99.194:8742,0.00%,115 ms
188.114.99.31:8742,0.00%,115 ms
162.159.192.13:854,0.00%,115 ms
188.114.97.200:854,0.00%,115 ms
162.159.195.104:854,0.00%,115 ms
162.159.195.104:8742,0.00%,115 ms
162.159.195.162:8742,0.00%,116 ms
188.114.96.150:8742,0.00%,116 ms
162.159.192.73:854,0.00%,116 ms
162.159.195.74:854,0.00%,116 ms
188.114.97.16:854,0.00%,116 ms
162.159.192.121:854,0.00%,117 ms
162.159.192.230:8742,0.00%,117 ms
188.114.96.50:8742,0.00%,117 ms
162.159.192.202:854,0.00%,117 ms
162.159.195.143:8742,0.00%,117 ms
162.159.192.219:8742,0.00%,117 ms
188.114.98.109:854,0.00%,117 ms
162.159.192.131:854,0.00%,117 ms
188.114.96.31:8742,0.00%,117 ms
162.159.192.226:8742,0.00%,117 ms
162.159.192.230:854,0.00%,117 ms
162.159.192.183:8742,0.00%,117 ms
188.114.97.153:854,0.00%,117 ms
162.159.195.143:854,0.00%,117 ms
162.159.192.73:8742,0.00%,118 ms
188.114.97.140:854,0.00%,118 ms
188.114.96.200:8742,0.00%,118 ms
162.159.192.202:8742,0.00%,118 ms
188.114.96.200:854,0.00%,118 ms
162.159.192.18:854,0.00%,118 ms
188.114.96.31:854,0.00%,118 ms
188.114.98.54:8742,0.00%,118 ms
162.159.192.61:854,0.00%,119 ms
188.114.97.46:8742,0.00%,119 ms
188.114.96.205:8742,0.00%,119 ms
162.159.192.26:854,0.00%,119 ms
162.159.192.61:8742,0.00%,119 ms
188.114.99.1:8742,0.00%,119 ms
188.114.99.117:8742,0.00%,120 ms
162.159.192.47:854,0.00%,120 ms
162.159.192.47:8742,0.00%,120 ms
188.114.96.53:8742,0.00%,120 ms
188.114.96.50:854,0.00%,120 ms
188.114.99.205:854,0.00%,120 ms
188.114.99.15:8742,0.00%,120 ms
188.114.96.53:854,0.00%,120 ms
188.114.99.117:854,0.00%,120 ms
188.114.97.140:8742,0.00%,120 ms
188.114.97.145:8742,0.00%,120 ms
162.159.195.208:854,0.00%,120 ms
188.114.97.145:854,0.00%,120 ms
162.159.192.65:8742,0.00%,120 ms
162.159.192.26:8742,0.00%,121 ms
188.114.97.170:8742,0.00%,121 ms
188.114.96.205:854,0.00%,121 ms
188.114.97.16:8742,0.00%,121 ms
188.114.97.15:854,0.00%,121 ms
188.114.96.14:8742,0.00%,121 ms
188.114.96.122:854,0.00%,121 ms
188.114.97.2:8742,0.00%,121 ms
188.114.98.215:854,0.00%,121 ms
188.114.98.190:8742,0.00%,122 ms
188.114.97.46:854,0.00%,122 ms
188.114.98.213:854,0.00%,122 ms
188.114.98.197:8742,0.00%,122 ms
188.114.98.109:8742,0.00%,122 ms
188.114.98.218:8742,0.00%,122 ms
188.114.99.194:854,0.00%,122 ms
188.114.98.63:8742,0.00%,122 ms
188.114.97.206:854,0.00%,122 ms
188.114.97.2:854,0.00%,122 ms
188.114.97.200:8742,0.00%,122 ms
188.114.98.54:854,0.00%,122 ms
188.114.98.65:8742,0.00%,122 ms
188.114.98.236:8742,0.00%,123 ms
188.114.98.65:854,0.00%,123 ms
188.114.96.227:8742,0.00%,125 ms
162.159.195.225:854,0.00%,125 ms
188.114.99.238:854,0.00%,125 ms
162.159.195.253:854,0.00%,126 ms
188.114.99.31:854,0.00%,126 ms
162.159.195.254:854,0.00%,126 ms
188.114.96.136:8742,0.00%,126 ms
