IP:PORT, LOSS, DELAY
188.114.96.189:1843,0.00%,113 ms
162.159.195.57:1843,0.00%,114 ms
188.114.98.162:1843,0.00%,115 ms
188.114.96.141:1843,0.00%,115 ms
188.114.97.182:7156,0.00%,115 ms
188.114.98.8:1843,0.00%,115 ms
188.114.98.15:7156,0.00%,115 ms
188.114.97.103:7156,0.00%,115 ms
188.114.96.115:7156,0.00%,115 ms
188.114.97.93:7156,0.00%,115 ms
162.159.195.76:7156,0.00%,116 ms
188.114.99.19:1843,0.00%,117 ms
188.114.97.100:1843,0.00%,117 ms
188.114.99.167:7156,0.00%,117 ms
162.159.192.231:7156,0.00%,117 ms
188.114.99.152:7156,0.00%,117 ms
162.159.192.10:7156,0.00%,117 ms
162.159.192.10:1843,0.00%,118 ms
188.114.98.156:7156,0.00%,118 ms
188.114.98.103:1843,0.00%,118 ms
162.159.195.220:1843,0.00%,119 ms
162.159.195.63:7156,0.00%,120 ms
162.159.195.68:7156,0.00%,120 ms
162.159.195.246:1843,0.00%,120 ms
162.159.195.57:7156,0.00%,120 ms
162.159.195.209:7156,0.00%,120 ms
162.159.195.63:1843,0.00%,120 ms
162.159.195.220:7156,0.00%,120 ms
162.159.195.178:7156,0.00%,120 ms
162.159.192.241:7156,0.00%,120 ms
188.114.97.81:7156,0.00%,120 ms
162.159.192.225:1843,0.00%,120 ms
162.159.192.39:1843,0.00%,121 ms
188.114.96.160:1843,0.00%,121 ms
188.114.96.145:1843,0.00%,121 ms
162.159.192.105:1843,0.00%,121 ms
188.114.96.141:7156,0.00%,121 ms
188.114.96.126:7156,0.00%,122 ms
188.114.99.31:1843,0.00%,123 ms
188.114.98.162:7156,0.00%,124 ms
188.114.98.194:1843,0.00%,124 ms
188.114.98.15:1843,0.00%,124 ms
188.114.96.105:1843,0.00%,124 ms
188.114.96.13:7156,0.00%,125 ms
188.114.96.13:1843,0.00%,125 ms
188.114.98.16:1843,0.00%,125 ms
188.114.99.118:1843,0.00%,125 ms
188.114.96.105:7156,0.00%,126 ms
188.114.98.80:7156,0.00%,126 ms
188.114.96.43:7156,0.00%,126 ms
162.159.195.92:7156,0.00%,126 ms
188.114.96.50:1843,0.00%,126 ms
188.114.96.43:1843,0.00%,126 ms
188.114.96.201:7156,0.00%,126 ms
188.114.96.252:7156,0.00%,126 ms
188.114.99.246:7156,0.00%,126 ms
188.114.96.252:1843,0.00%,126 ms
188.114.98.25:1843,0.00%,126 ms
188.114.99.19:7156,0.00%,126 ms
188.114.99.184:7156,0.00%,126 ms
188.114.96.189:7156,0.00%,126 ms
188.114.98.111:7156,0.00%,126 ms
162.159.195.98:7156,0.00%,126 ms
188.114.97.81:1843,0.00%,127 ms
188.114.98.111:1843,0.00%,127 ms
162.159.192.67:7156,0.00%,127 ms
162.159.195.92:1843,0.00%,127 ms
162.159.195.209:1843,0.00%,127 ms
188.114.99.197:7156,0.00%,129 ms
188.114.97.100:7156,0.00%,129 ms
188.114.99.36:7156,0.00%,129 ms
188.114.99.241:7156,0.00%,129 ms
188.114.99.167:1843,0.00%,129 ms
188.114.98.89:1843,0.00%,129 ms
188.114.98.8:7156,0.00%,129 ms
188.114.98.80:1843,0.00%,129 ms
188.114.97.234:1843,0.00%,129 ms
188.114.99.188:1843,0.00%,137 ms
162.159.192.5:7156,10.00%,200 ms
162.159.192.5:1843,10.00%,200 ms
188.114.96.115:1843,10.00%,201 ms
188.114.97.93:1843,10.00%,201 ms
162.159.195.177:7156,10.00%,202 ms
162.159.195.149:1843,10.00%,202 ms
188.114.96.25:7156,10.00%,202 ms
162.159.192.82:7156,10.00%,202 ms
188.114.96.160:7156,10.00%,203 ms
188.114.98.103:7156,10.00%,203 ms
162.159.192.8:1843,10.00%,203 ms
162.159.192.86:7156,10.00%,203 ms
162.159.195.149:7156,10.00%,203 ms
162.159.192.173:7156,10.00%,205 ms
188.114.97.183:7156,10.00%,205 ms
162.159.192.222:7156,10.00%,205 ms
162.159.192.55:1843,10.00%,206 ms
188.114.98.16:7156,10.00%,206 ms
188.114.99.197:1843,10.00%,207 ms
188.114.97.234:7156,10.00%,208 ms
162.159.192.173:1843,10.00%,209 ms
188.114.99.36:1843,10.00%,209 ms
188.114.99.70:1843,10.00%,209 ms
188.114.97.245:7156,10.00%,209 ms
188.114.97.111:1843,10.00%,209 ms
188.114.99.188:7156,10.00%,210 ms
188.114.97.189:7156,10.00%,210 ms
162.159.192.67:1843,10.00%,210 ms
188.114.99.118:7156,10.00%,210 ms
